PartitionKey,RowKey,Timestamp,Check1,Check2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,isTurk,clickedPlay,time,correctCount,lyrics,Q12
musictests,1a76b09f-c01f-4bfe-8f83-9f70774e6782,2018-08-07T00:29:39.285Z,A,A,C,D,A,C,A,E,A,B,E,A,B,B,true,true,-405,1,true,
musictests,5dcc4cd9-b794-4f3e-862d-c05df05936f1,2018-08-07T00:31:13.773Z,B,A,C,B,E,A,A,G,A,A,D,A,A,B,true,true,-659,4,true,
musictests,A18TCR555RWUZVb376e672-98e0-4658-b1ce-185374c7e935,2018-08-07T00:23:44.949Z,A,A,C,B,E,A,D,D,A,A,E,A,A,B,true,true,-295,5,false,
musictests,A1EBQ9X6IN5OZC05d429a2-e1ca-4139-b0dd-f2739d874bb5,2018-08-07T00:24:44.489Z,A,A,C,B,C,A,D,D,B,A,H,A,A,B,true,true,-194,4,false,
musictests,A1PUHCEBSOWETV5ab6e0ce-75a4-4e7e-887f-9ed0a47c15e6,2018-08-07T00:29:11.786Z,A,A,C,B,E,A,D,C,A,B,G,A,A,B,true,true,-273,5,true,
musictests,A1VC6F0FYG1L5I9d672728-9457-431b-a8f9-b688efc87efb,2018-08-07T00:26:48.495Z,A,A,C,B,C,A,D,E,B,A,H,B,A,B,true,true,-382,4,false,
musictests,A2BHPYKUHMASE01d65ba11-2632-4631-99a1-864a48316674,2018-08-07T00:26:10.183Z,A,A,C,E,C,E,B,D,B,B,F,A,A,B,true,true,-373,1,true,
musictests,A2JP9IKRHNLRPI5c3845fa-58b4-47e8-bbaf-86d3f393a712,2018-08-03T02:17:09.880Z,A,A,C,B,E,A,D,C,A,B,H,Freelance Consultant ,A,,true,true,-393,5,true,A
musictests,A2JP9IKRHNLRPIe05e9be1-f28e-495e-875f-90d44c8f33d1,2018-08-07T00:24:45.219Z,A,A,C,E,E,A,B,C,A,B,H,A,A,B,true,true,-192,3,true,
musictests,A2NA2OJT15COZYb7065be8-9d2c-4ea8-bb7d-4939f567a3aa,2018-08-07T00:24:43.652Z,A,A,C,B,E,C,D,E,A,B,D,A,A,B,true,true,-344,4,true,
musictests,A2OO4PG3LBLP5I246bd94e-3605-4b80-b4e0-eb9ae4704bb9,2018-08-07T00:54:52.946Z,A,A,E,E,B,A,D,C,A,A,D,A,A,B,true,true,-462,2,true,
musictests,A2YM550H2AL6JO51b62410-802b-4782-98ac-60213a0e6471,2018-08-07T00:26:59.131Z,A,A,C,B,C,A,D,C,A,A,E,A,A,B,true,true,-413,4,true,
musictests,A39DNHD26OMN4Q250b837a-d848-416c-a066-cb5d9422d885,2018-08-07T00:25:15.607Z,A,A,C,B,C,A,D,C,A,A,H,A,A,B,true,true,-349,4,false,
musictests,A3BI0AX5T5GVO35bf0d195-3a6d-4cf5-8921-ef54a5b1d4c6,2018-08-07T00:26:27.459Z,A,A,C,C,C,A,D,D,B,B,H,A,A,B,true,true,-461,3,true,
musictests,A3GJWXA13GMS9H98f95504-4e1e-41a6-9981-9088ec5c5181,2018-08-07T00:43:52.380Z,A,A,C,B,C,E,C,D,B,B,I,B,B,B,true,true,-699,2,true,
musictests,A3L2UB07EZJAMDef466d84-abff-469e-91c0-58c03a2f7ee9,2018-08-07T00:43:45.161Z,A,A,C,B,E,A,D,F,A,B,D,A,A,B,true,true,-234,5,false,
musictests,A4J4GGMKJ68L0e584c463-aad2-47bd-a5cf-14a7f54972cf,2018-08-07T00:27:36.134Z,A,A,C,B,E,A,D,C,A,A,H,B,A,B,true,true,-358,5,true,
musictests,A4SC8G0149GEG54c06e2d-21ef-4a58-b603-5e3a3420a3bc,2018-08-07T00:52:23.208Z,A,A,C,B,E,A,D,D,A,B,E,A,A,B,true,true,-534,5,true,
musictests,AIZTLQM7HHQN6b6a8d365-4935-4f1f-91d4-6616f2b7678a,2018-08-07T00:26:45.717Z,A,A,C,B,A,A,D,D,A,A,H,B,A,B,true,true,-469,4,false,
musictests,AKZ8SFOAI4RZNeea647f5-613a-433c-8050-a79accfcdc73,2018-08-07T00:25:53.358Z,A,A,C,B,E,A,D,D,A,B,H,B,A,B,true,true,-389,5,false,
musictests,Aaron Olson1a1e39d2-177f-4457-8e63-6044d3a569d6,2018-08-03T14:39:33.424Z,A,A,C,B,E,A,D,D,A,A,I,Data Management Engineer,A,,null,true,-419,5,true,A
musictests,Aaron22c1f902-e188-4b64-a424-ea16be3b40ec,2018-08-07T00:26:04.380Z,A,A,C,E,A,C,B,D,A,B,B,B,A,B,true,true,-172,1,false,
musictests,Abe6fa41b91-e048-4658-a3d8-7e11f5ca1f82,2018-08-07T00:31:36.158Z,A,A,C,D,C,A,A,C,A,A,H,A,A,B,true,true,-552,2,true,
musictests,Adam Jccc14d59-a3cc-4de4-88b3-e019bf15a5f7,2018-08-03T19:10:51.542Z,A,A,C,B,E,D,D,D,A,B,I,Analyst,A,,null,true,-289,4,false,B
musictests,Alex Hughes461872a6-3aee-4636-9032-934c9243e916,2018-08-07T00:10:23.548Z,A,A,C,C,E,C,E,D,A,B,J,A,A,B,null,true,-245,2,false,
musictests,Aman Agarwal6eccf68b-0343-43c8-9deb-246536665ffd,2018-08-04T09:23:36.777Z,A,A,C,B,C,D,B,D,A,B,H,Product Manager,A,,null,true,-1002,2,true,A
musictests,Andrea Nguyenfd5f0dc2-8655-4476-aef5-22fedac9e328,2018-08-06T23:22:06.654Z,A,A,C,B,E,A,D,C,B,B,G,B,A,E,null,true,-409,5,false,
musictests,Angieda9e4b8d-a838-40aa-981e-c658b7643313,2018-08-07T00:45:49.626Z,A,A,C,B,E,C,B,E,B,B,H,B,A,B,true,true,-251,3,false,
musictests,Asha Anju21d5524a-9ed9-42e9-8ced-1d714f9899d3,2018-08-07T22:57:20.179Z,A,A,C,C,E,A,A,D,B,B,I,B,B,B,null,true,-568,3,true,
musictests,Ashley Wells2c6937f9-a267-4dbf-aa9a-d06b9cc9f882,2018-08-08T15:20:13.567Z,A,A,C,B,E,A,E,E,B,A,H,A,A,B,null,true,-389,4,false,
musictests,Audrey Nguyen086f7d20-abc6-47fb-b96e-921d0921b88a,2018-08-07T21:35:07.271Z,A,A,C,B,E,A,D,D,B,B,G,B,A,B,null,true,-441,5,true,
musictests,Beth8ee24d02-97e7-4209-92f0-7219976436e4,2018-08-07T00:45:28.323Z,A,A,C,B,E,A,B,E,B,A,I,A,A,B,true,true,-360,4,true,
musictests,Brendon Campbell37fc812b-42ec-4f9e-b389-9cadfe88d908,2018-08-07T00:26:49.955Z,A,A,C,B,E,C,B,C,A,B,E,B,A,B,true,true,-389,3,true,
musictests,Briandd94b9cd-43ce-43ab-be0b-3dbd018f8d30,2018-08-07T00:27:37.890Z,A,A,C,C,E,A,A,D,A,B,H,A,A,B,true,true,-525,3,true,
musictests,Bryan Moore515594f8-0400-4e11-bef0-8d1ea35e9c29,2018-08-06T23:45:50.792Z,A,A,C,B,E,A,D,D,A,B,J,A,A,B,null,true,-240,5,true,
musictests,C974c2fe4-8871-4c59-b117-c49f81b690e1,2018-08-07T00:23:26.490Z,A,A,C,B,C,A,D,D,B,B,E,A,A,B,true,true,-199,4,false,
musictests,Camila Hurtado3cf0a44a-413b-4694-be79-970c1491065a,2018-08-03T06:01:58.827Z,A,A,C,B,E,A,D,C,B,B,I,Unemployed,A,,null,true,-818,5,true,A
musictests,Camila Hurtado807a4d84-edfd-4738-88b9-ea4976efee19,2018-08-03T06:01:58.741Z,A,A,C,B,E,A,D,C,B,B,I,Unemployed,A,,null,true,-817,5,true,A
musictests,Carissabd229665-67b0-49c7-bbf1-8179d8eea5f0,2018-08-07T00:24:54.911Z,A,A,C,B,E,A,A,F,B,B,I,A,A,B,true,true,-337,4,false,
musictests,Chris7b1d1554-e9d1-46a6-93c7-aed3b05fcd19,2018-08-07T00:48:14.117Z,A,A,C,B,E,A,D,D,A,A,E,A,A,B,true,true,-344,5,false,
musictests,Christopher Flanagan562fa336-b9c2-4343-953d-8fd3b4c53f3f,2018-08-07T00:23:24.884Z,A,A,C,E,C,A,D,D,A,B,E,A,A,B,true,true,-271,3,true,
musictests,Clark2eba560b-7aee-4b9b-804f-07bfbe51ff4f,2018-08-07T00:23:59.918Z,A,A,C,B,B,C,C,D,A,A,G,A,A,B,true,true,-277,2,true,
musictests,Cleve Randolphe3c7a291-e508-4b64-8708-df6012056243,2018-08-02T22:38:28.358Z,A,A,C,B,E,C,D,H,A,A,H,retired,A,,null,true,-1031,4,false,B
musictests,Crystalf1a9a83d-004a-433c-8983-63202e176079,2018-08-07T00:47:20.844Z,A,A,C,B,D,E,D,E,B,B,G,A,A,B,true,true,-469,3,true,
musictests,D Rcac8b8e5-bf45-4507-8db6-cc7e9026915c,2018-08-07T00:26:57.951Z,A,A,C,B,C,A,C,E,B,A,D,A,A,B,true,true,-399,3,false,
musictests,DJ9b832d07-7c2e-4edc-ac65-22e01f7c8796,2018-08-07T00:29:11.319Z,A,A,B,A,C,A,D,D,B,B,E,B,A,B,true,true,-475,2,true,
musictests,Damien5115df63-13ad-4dbc-8ac1-bfda0fcd6658,2018-08-03T02:48:02.889Z,A,A,C,B,A,C,C,D,A,B,G,healthcare billing and coding specialist,B,,true,true,-836,2,true,A
musictests,Daniel R.6bd8f5a4-9198-414a-b5ba-9c26faa1a5fa,2018-08-07T00:23:44.982Z,A,A,C,B,E,A,C,C,A,A,E,A,A,B,true,true,-283,4,true,
musictests,Dave692742da-b37d-4bbc-ab9d-50c20f51c11c,2018-08-07T00:54:49.021Z,A,A,C,B,E,A,D,E,A,A,H,A,A,B,true,true,-478,5,false,
musictests,Delilah50b6b14d-9b37-48ff-bcd1-81e43b47d03c,2018-08-07T00:45:49.836Z,A,A,C,A,E,B,A,C,B,B,E,A,A,B,true,true,-277,2,true,
musictests,Don87475abd-882e-4613-8246-53965884b097,2018-08-07T00:49:02.955Z,A,A,C,E,C,E,D,F,A,B,G,A,A,B,true,true,-499,2,false,
musictests,Donna3aa2140c-65cf-490c-bb0c-82cc015efc9f,2018-08-07T00:32:08.582Z,A,A,C,B,C,B,E,D,B,A,H,A,A,B,true,true,-767,2,false,
musictests,Edbc137079-35b3-4532-aac4-2e492aa760c7,2018-08-07T00:28:37.824Z,A,A,C,E,E,A,B,F,A,A,H,A,A,B,true,true,-449,3,true,
musictests,Emily Hawkins5d7d360f-7d57-4923-8cd6-6497e3815b38,2018-08-07T00:24:34.739Z,A,A,C,B,C,C,D,D,B,B,H,A,A,B,true,true,-334,3,false,
musictests,Eric1da21f2d-25f3-4d71-a9e5-934e0783d01f,2018-08-07T00:29:24.103Z,A,A,C,B,C,E,C,D,A,A,H,A,A,B,true,true,-610,2,true,
musictests,Eric8e33a454-9618-492e-9dae-a622728fbf80,2018-08-07T00:45:59.231Z,A,A,C,B,E,A,B,E,A,B,I,A,A,B,true,true,-373,4,false,
musictests,Glenn Grimwoodf2d84b49-c874-4f1a-ac9f-3bf7e8ace2db,2018-08-07T00:02:53.522Z,A,A,C,B,E,A,D,E,A,B,H,A,A,B,null,true,-496,5,true,
musictests,Gurdit Test58c6b03e-300b-4cc7-b60e-306e6bf239ca,2018-08-06T23:05:43.497Z,A,A,C,B,E,N,N,N,N,N,N,A,A,B,null,true,-458,3,false,
musictests,Hannah Smith09b8635f-2205-47f5-9e14-8f627933589b,2018-08-02T18:22:27.607Z,A,A,C,B,E,A,D,D,B,B,G,LVN,A,,null,true,-1103,5,false,A
musictests,Hedieh Randolphd1d3f088-3ee9-4bd0-8456-5377d39a2620,2018-08-02T18:22:08.389Z,A,A,C,B,E,C,B,D,B,A,H,,B,,null,true,-520,3,false,B
musictests,Jack Williamsbcc4fad8-7de8-4b49-8cb3-189d1e4c421a,2018-08-07T00:31:49.232Z,A,A,C,B,E,A,D,E,A,A,H,A,A,B,true,true,-482,5,false,
musictests,Jake102a6c92-80a1-4bec-98eb-92438304f55e,2018-08-07T00:26:17.684Z,A,A,C,E,C,C,B,D,A,A,I,B,B,B,true,true,-291,1,false,
musictests,Jakef364e6a8-ee0f-40d9-ac43-a3db042ca7bb,2018-08-07T00:24:18.611Z,A,A,C,B,E,C,D,E,A,A,H,A,A,B,true,true,-316,4,true,
musictests,James Miller13fb5640-ebbb-4704-aaae-d8dd1e9359b8,2018-08-07T00:36:38.562Z,A,A,C,E,A,A,B,E,A,A,D,A,A,B,true,true,-829,2,true,
musictests,Jeanetta4cf33436-e33d-4251-aba0-08ed2c600bf5,2018-08-07T00:28:39.049Z,A,A,B,A,C,E,E,E,B,A,H,A,A,B,true,true,-483,0,true,
musictests,Jeff4828d22e-69d4-43f8-94dd-908392eb4787,2018-08-07T00:47:30.597Z,A,A,C,B,E,A,D,F,A,B,E,A,A,B,true,true,-481,5,false,
musictests,Jessica866d8d37-880c-495e-8293-cf94476d56db,2018-08-07T00:35:10.736Z,A,A,C,B,E,A,D,C,B,B,H,B,A,B,true,true,-199,5,false,
musictests,Ji Li235c797f-1272-4493-be81-ea287f427a7c,2018-08-07T22:04:11.434Z,A,A,C,B,E,C,D,E,A,B,J,B,B,B,null,true,-1242,4,true,
musictests,Joe7c5a8131-16b1-4d04-a624-5557666904e3,2018-08-07T00:23:38.794Z,A,A,C,B,E,C,D,D,A,B,I,A,A,B,true,true,-269,4,false,
musictests,John Bb1d3d3ee-6adf-433f-b936-5fabef97adf5,2018-08-03T02:08:04.526Z,A,A,C,B,C,E,C,F,A,A,I,Caregiver,A,,true,true,-771,2,false,B
musictests,John7530dd74-7890-4454-bb54-856864a16c28,2018-08-07T00:33:25.961Z,A,A,C,D,E,C,D,D,A,A,E,A,A,B,true,true,-552,3,true,
musictests,Jordan0c6cc515-060e-4e6f-b510-7d9d7b0a041a,2018-08-07T00:23:27.157Z,A,A,C,A,E,E,B,D,A,A,H,B,A,B,true,true,-284,2,false,
musictests,Karenf66e0a8b-e5f1-46c4-b570-b80484f47a8c,2018-08-07T00:28:46.717Z,A,A,C,E,C,B,D,F,B,A,C,B,A,B,true,true,-518,2,false,
musictests,Kate Manfreda5ebf7ed-ff5f-4d13-87ba-71621d716dcf,2018-08-02T23:01:40.970Z,A,A,C,B,E,A,D,D,B,B,H,Consultant,A,,null,true,-413,5,false,B
musictests,Katie05697a93-7aea-4209-b530-eb980e6c192c,2018-08-07T00:32:32.963Z,A,A,C,E,E,A,A,D,B,A,G,A,A,B,true,true,-685,3,true,
musictests,Kelley11f1d3bc-8918-4ba2-9ec3-641a728cd6f1,2018-08-07T01:08:32.896Z,A,A,C,B,E,C,C,F,B,A,E,A,A,B,true,true,-494,3,false,
musictests,Kileyf0435569-02b6-46a5-b698-8f147af5443c,2018-08-07T00:26:02.786Z,A,A,C,B,E,A,E,C,B,A,E,A,A,B,true,true,-352,4,true,
musictests,Kylec649fac1-a670-45ce-908c-be6719856a58,2018-08-07T00:28:54.031Z,A,A,C,B,C,B,D,D,A,A,G,A,A,B,true,true,-439,3,false,
musictests,Laura88ff28ba-7e2a-4820-bd6e-0586f364771c,2018-08-11T21:09:57.182Z,A,A,C,B,A,C,D,D,B,A,H,A,B,B,null,true,-739,3,true,
musictests,Lilly739a7e98-8cdb-4177-b6f3-2c189ce95223,2018-08-07T00:25:49.971Z,A,A,C,E,E,A,D,C,B,B,H,B,A,B,true,true,-388,4,false,
musictests,Lindseyd2342902-d809-4f0e-91a8-71e99a64000d,2018-08-07T00:22:06.977Z,A,A,C,B,E,C,D,C,B,A,D,A,A,B,true,true,-198,4,true,
musictests,Lisad6f6f7cb-5ecb-4e6b-96af-5028c6688225,2018-08-07T00:27:49.915Z,A,A,C,A,C,A,C,E,B,A,C,A,A,B,true,true,-474,2,true,
musictests,Lorainefac69103-dd0a-44dc-a1f4-2ceda6fd25f5,2018-08-03T06:11:58.753Z,A,A,C,B,E,D,C,G,B,B,J,Physician,N,,null,true,-341,3,false,N
musictests,Marcela86b9de5e-f366-4331-83e5-7af443a89330,2018-08-07T00:50:17.686Z,A,A,C,B,C,A,D,D,B,B,E,A,A,B,true,true,-298,4,false,
musictests,Marcus26dac08f-a169-40a9-bbd0-583cc3328b0b,2018-08-03T02:14:28.435Z,A,A,C,B,C,C,C,C,A,B,D,Retail,A,,true,true,-279,2,true,A
musictests,Marcus797f99e7-17a2-418d-b498-f16834f59e8f,2018-08-03T02:32:59.633Z,A,A,C,B,C,C,D,D,A,B,H,student,B,,null,true,-437,3,true,A
musictests,Mark565eb6ea-4e70-4467-820c-6d8b085d42e4,2018-08-07T00:40:32.673Z,A,A,C,B,E,A,A,C,A,B,D,A,A,B,true,true,-475,4,true,
musictests,Matt Fleenoraca8137b-5d6e-4d1b-afdc-a2a5b79feff5,2018-08-07T00:29:03.349Z,A,A,C,E,A,C,A,D,A,A,E,B,A,B,true,true,-547,1,false,
musictests,Matteaa01e59-ff1a-445f-be01-383968ed2a14,2018-08-07T00:30:19.830Z,A,A,B,B,E,C,A,E,A,B,E,A,A,B,true,true,-596,2,true,
musictests,Michael Smithe00ddeca-6a05-4cf5-9e47-e6f4bda3d527,2018-08-07T00:25:02.711Z,A,A,C,C,E,A,A,C,A,A,H,B,A,B,true,true,-359,3,true,
musictests,Michellebd9f5d27-634b-4ae3-aa1b-6f7b8411bd53,2018-08-07T00:50:38.589Z,A,A,C,B,A,A,D,D,B,A,I,A,A,B,true,true,-471,4,true,
musictests,Mickya4363f7c-57ce-40a5-a59d-b353aff6952a,2018-08-07T00:37:09.160Z,A,A,C,B,E,E,B,F,B,A,I,A,A,B,true,true,-278,3,true,
musictests,Mike RIvera e33025eb-d9b3-409f-b7c7-6d2ce0e0ccaf,2018-08-07T17:45:14.031Z,A,A,C,E,A,C,D,D,A,B,J,A,A,B,null,true,-267,2,false,
musictests,Mike8bfcc1d4-84a6-4a02-a2d8-1f1f0788e12b,2018-08-07T00:29:48.672Z,A,A,C,B,C,C,D,E,A,B,I,A,A,B,true,true,-662,3,true,
musictests,Neven7b61033c-caf4-4aeb-8e28-d1df16e2f658,2018-08-07T00:31:11.759Z,A,A,C,B,E,A,D,C,A,B,D,A,A,B,true,true,-586,5,true,
musictests,Nick524b6b62-aa21-4b6f-931a-347c008d96a6,2018-08-07T00:38:49.466Z,A,A,C,B,A,C,D,C,A,B,E,B,A,B,true,true,-497,3,true,
musictests,Nick7c091375-1580-4c41-9172-919323bbf4a2,2018-08-07T00:25:27.639Z,A,A,C,C,E,A,D,D,A,B,H,B,A,B,true,true,-290,4,false,
musictests,Paulf2b4ba23-81fb-4305-852d-5313ea6db9b2,2018-08-07T00:26:48.606Z,A,A,C,B,E,C,E,F,A,B,E,A,A,B,true,true,-423,3,true,
musictests,Pika442bfaa2-a6fb-438b-91b0-ffedc1e49d08,2018-08-06T22:35:19.047Z,A,A,C,C,C,A,E,D,A,B,H,A,A,B,null,true,-467,2,true,
musictests,Pradnya Nimkar7511ce4c-0cc5-41f1-ae4d-b95eee29b7a8,2018-08-02T18:38:52.611Z,A,A,C,B,E,C,D,E,B,B,I,Data scientist,B,,null,true,-1478,4,false,A
musictests,R11579c7f-3b0a-429d-a390-4f619761709f,2018-08-07T00:27:32.970Z,A,A,C,B,C,C,D,F,A,B,G,A,A,B,true,true,-327,3,false,
musictests,Rachael 99fea3fa-76b0-4c13-8117-3af9fbe2b83b,2018-08-03T19:35:41.662Z,A,A,C,B,E,A,D,D,B,B,H,Cost Analyst,A,,null,true,-591,5,true,A
