PartitionKey,RowKey,Timestamp,Check1,Check1@type,Check2,Check2@type,Q1,Q1@type,Q2,Q2@type,Q3,Q3@type,Q4,Q4@type,Q5,Q5@type,Q6,Q6@type,Q7,Q7@type,Q8,Q8@type,Q9,Q9@type,Q10,Q10@type,Q11,Q11@type,Q12,Q12@type,isTurk,isTurk@type,clickedPlay,clickedPlay@type,time,time@type,correctCount,correctCount@type,lyrics,lyrics@type
musictests,A2JP9IKRHNLRPI5c3845fa-58b4-47e8-bbaf-86d3f393a712,2018-08-03T02:17:09.880Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,C,Edm.String,A,Edm.String,B,Edm.String,H,Edm.String,Freelance Consultant ,Edm.String,A,Edm.String,A,Edm.String,true,Edm.String,true,Edm.Boolean,-393,Edm.Int32,5,Edm.Int32,true,Edm.Boolean
musictests,Aaron Olson1a1e39d2-177f-4457-8e63-6044d3a569d6,2018-08-03T14:39:33.424Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,D,Edm.String,A,Edm.String,A,Edm.String,I,Edm.String,Data Management Engineer,Edm.String,A,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-419,Edm.Int32,5,Edm.Int32,true,Edm.Boolean
musictests,Adam Jccc14d59-a3cc-4de4-88b3-e019bf15a5f7,2018-08-03T19:10:51.542Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,D,Edm.String,D,Edm.String,D,Edm.String,A,Edm.String,B,Edm.String,I,Edm.String,Analyst,Edm.String,A,Edm.String,B,Edm.String,null,Edm.String,true,Edm.Boolean,-289,Edm.Int32,4,Edm.Int32,false,Edm.Boolean
musictests,Camila Hurtado3cf0a44a-413b-4694-be79-970c1491065a,2018-08-03T06:01:58.827Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,C,Edm.String,B,Edm.String,B,Edm.String,I,Edm.String,Unemployed,Edm.String,A,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-818,Edm.Int32,5,Edm.Int32,true,Edm.Boolean
musictests,Camila Hurtado807a4d84-edfd-4738-88b9-ea4976efee19,2018-08-03T06:01:58.741Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,C,Edm.String,B,Edm.String,B,Edm.String,I,Edm.String,Unemployed,Edm.String,A,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-817,Edm.Int32,5,Edm.Int32,true,Edm.Boolean
musictests,Cleve Randolphe3c7a291-e508-4b64-8708-df6012056243,2018-08-02T22:38:28.358Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,C,Edm.String,D,Edm.String,H,Edm.String,A,Edm.String,A,Edm.String,H,Edm.String,retired,Edm.String,A,Edm.String,B,Edm.String,null,Edm.String,true,Edm.Boolean,-1031,Edm.Int32,4,Edm.Int32,false,Edm.Boolean
musictests,Damien5115df63-13ad-4dbc-8ac1-bfda0fcd6658,2018-08-03T02:48:02.889Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,A,Edm.String,C,Edm.String,C,Edm.String,D,Edm.String,A,Edm.String,B,Edm.String,G,Edm.String,healthcare billing and coding specialist,Edm.String,B,Edm.String,A,Edm.String,true,Edm.String,true,Edm.Boolean,-836,Edm.Int32,2,Edm.Int32,true,Edm.Boolean
musictests,Hannah Smith09b8635f-2205-47f5-9e14-8f627933589b,2018-08-02T18:22:27.607Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,D,Edm.String,B,Edm.String,B,Edm.String,G,Edm.String,LVN,Edm.String,A,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-1103,Edm.Int32,5,Edm.Int32,false,Edm.Boolean
musictests,Hedieh Randolphd1d3f088-3ee9-4bd0-8456-5377d39a2620,2018-08-02T18:22:08.389Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,C,Edm.String,B,Edm.String,D,Edm.String,B,Edm.String,A,Edm.String,H,Edm.String,,Edm.String,B,Edm.String,B,Edm.String,null,Edm.String,true,Edm.Boolean,-520,Edm.Int32,3,Edm.Int32,false,Edm.Boolean
musictests,John Bb1d3d3ee-6adf-433f-b936-5fabef97adf5,2018-08-03T02:08:04.526Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,C,Edm.String,E,Edm.String,C,Edm.String,F,Edm.String,A,Edm.String,A,Edm.String,I,Edm.String,Caregiver,Edm.String,A,Edm.String,B,Edm.String,true,Edm.String,true,Edm.Boolean,-771,Edm.Int32,2,Edm.Int32,false,Edm.Boolean
musictests,Kate Manfreda5ebf7ed-ff5f-4d13-87ba-71621d716dcf,2018-08-02T23:01:40.970Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,D,Edm.String,B,Edm.String,B,Edm.String,H,Edm.String,Consultant,Edm.String,A,Edm.String,B,Edm.String,null,Edm.String,true,Edm.Boolean,-413,Edm.Int32,5,Edm.Int32,false,Edm.Boolean
musictests,Lorainefac69103-dd0a-44dc-a1f4-2ceda6fd25f5,2018-08-03T06:11:58.753Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,D,Edm.String,C,Edm.String,G,Edm.String,B,Edm.String,B,Edm.String,J,Edm.String,Physician,Edm.String,N,Edm.String,N,Edm.String,null,Edm.String,true,Edm.Boolean,-341,Edm.Int32,3,Edm.Int32,false,Edm.Boolean
musictests,Marcus26dac08f-a169-40a9-bbd0-583cc3328b0b,2018-08-03T02:14:28.435Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,C,Edm.String,C,Edm.String,C,Edm.String,C,Edm.String,A,Edm.String,B,Edm.String,D,Edm.String,Retail,Edm.String,A,Edm.String,A,Edm.String,true,Edm.String,true,Edm.Boolean,-279,Edm.Int32,2,Edm.Int32,true,Edm.Boolean
musictests,Marcus797f99e7-17a2-418d-b498-f16834f59e8f,2018-08-03T02:32:59.633Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,C,Edm.String,C,Edm.String,D,Edm.String,D,Edm.String,A,Edm.String,B,Edm.String,H,Edm.String,student,Edm.String,B,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-437,Edm.Int32,3,Edm.Int32,true,Edm.Boolean
musictests,Pradnya Nimkar7511ce4c-0cc5-41f1-ae4d-b95eee29b7a8,2018-08-02T18:38:52.611Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,C,Edm.String,D,Edm.String,E,Edm.String,B,Edm.String,B,Edm.String,I,Edm.String,Data scientist,Edm.String,B,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-1478,Edm.Int32,4,Edm.Int32,false,Edm.Boolean
musictests,Rachael 99fea3fa-76b0-4c13-8117-3af9fbe2b83b,2018-08-03T19:35:41.662Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,D,Edm.String,B,Edm.String,B,Edm.String,H,Edm.String,Cost Analyst,Edm.String,A,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-591,Edm.Int32,5,Edm.Int32,true,Edm.Boolean
musictests,Ramesh S5d228e8c-5d4a-4221-874c-e4958e791c57,2018-08-02T20:17:51.210Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,B,Edm.String,I,Edm.String,Analytics,Edm.String,B,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-591,Edm.Int32,4,Edm.Int32,true,Edm.Boolean
musictests,Shadi Safie1487d30-d947-40df-8d25-a97e785f660d,2018-08-02T21:56:21.258Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,C,Edm.String,D,Edm.String,D,Edm.String,A,Edm.String,A,Edm.String,H,Edm.String,Medical scribe ,Edm.String,A,Edm.String,B,Edm.String,null,Edm.String,true,Edm.Boolean,-577,Edm.Int32,4,Edm.Int32,false,Edm.Boolean
musictests,Sofia Hurtado40a6d1e1-f28a-41b6-a814-4cdf0c49486a,2018-08-03T06:03:45.814Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,C,Edm.String,B,Edm.String,B,Edm.String,H,Edm.String,Software engineer ,Edm.String,A,Edm.String,B,Edm.String,null,Edm.String,true,Edm.Boolean,-506,Edm.Int32,5,Edm.Int32,false,Edm.Boolean
musictests,Yoolim Jind4d41cbe-5080-44e2-be5f-dda52a3cf013,2018-08-03T00:03:15.187Z,A,Edm.String,A,Edm.String,C,Edm.String,E,Edm.String,E,Edm.String,A,Edm.String,C,Edm.String,D,Edm.String,A,Edm.String,B,Edm.String,H,Edm.String,Data Scientist,Edm.String,B,Edm.String,A,Edm.String,null,Edm.String,true,Edm.Boolean,-344,Edm.Int32,3,Edm.Int32,true,Edm.Boolean
musictests,f78df8b3-3f06-4816-a0d0-8f09688978ad,2018-08-02T23:31:14.319Z,A,Edm.String,A,Edm.String,C,Edm.String,B,Edm.String,C,Edm.String,C,Edm.String,B,Edm.String,C,Edm.String,A,Edm.String,A,Edm.String,H,Edm.String,Produce Sales,Edm.String,A,Edm.String,B,Edm.String,null,Edm.String,true,Edm.Boolean,-346,Edm.Int32,2,Edm.Int32,false,Edm.Boolean
musictests,sam7b652537-2a87-42dd-99d3-9d2c0cfac317,2018-08-03T02:05:41.432Z,A,Edm.String,A,Edm.String,C,Edm.String,E,Edm.String,E,Edm.String,A,Edm.String,D,Edm.String,D,Edm.String,B,Edm.String,B,Edm.String,G,Edm.String,secretary,Edm.String,A,Edm.String,B,Edm.String,true,Edm.String,true,Edm.Boolean,-182,Edm.Int32,4,Edm.Int32,false,Edm.Boolean
musictests,suzanne1af331d9-ad6f-4e11-8977-8b707f659197,2018-08-03T01:22:44.560Z,A,Edm.String,A,Edm.String,C,Edm.String,A,Edm.String,E,Edm.String,C,Edm.String,E,Edm.String,H,Edm.String,B,Edm.String,A,Edm.String,H,Edm.String,retired,Edm.String,A,Edm.String,B,Edm.String,null,Edm.String,true,Edm.Boolean,-504,Edm.Int32,2,Edm.Int32,false,Edm.Boolean
